Reviewer,Rating (1-5),Ulasan
Erick Kwan,4,"Bumi surabaya city hotel ini hotel bintang 5 yang berada di tengah kota surabaya. Dengan banyak fasilitas yang disediakan dan pelayanan yang sangat berpengalaman akan membuat anda seperti menjadi raja ketika menginap disini. Dengan konsep indonesia yang kental membuat anda semakin cinta dengan tanah air indonesia. kolam renang dengan view yang membuat anda relax. Dan restaurant yang ada disini merupakan restaurant yang termasuk favorit di kota surabaya. Dengan menu all you can eat anda bisa makan dengan banyak sekalian pilihan menu. Mulai dari indonesian food, chinesse food, japanese food dll. Dengan minuman yang juga banyak pilihan. Cocok untuk anda yang ingin makan beramai-ramai dengan teman anda. Enjoy it!"
desy_marya,5,"Meski agak jadul, tp hotelnya bagus.. letak di tengah kota, sejuk krn banyak taman & pepohonan.. kamar luas, toilet jg luas..bersih..makanan sangat variatif dan rasa enak.. menyenangkan sarapan di area outdoor resto..cuma cukup jauh jarak …"
Prasetyo M.,5,Nyaman bgt. Keren banget. Resto dengan konsep pasar senggol keren banget. Masakannya merakyat dan enak bgt. Kalo disini emang bikin betah menikmati aneka menu makannan. Warungnya seperti kedai debgan gerobak. Dari jajanan tradisional sampe modern juga ada. Kemaren pas saya kesana ada spot sushi juga. Oiya ada es telernya juga.  Nasgor nya itu lho bikin pengen nambah.
Matt Journey,5,"Salah satu resort yang berada di tengah kota Surabaya, dan bener-bener dekat dengan pusat perbelanjaan serta yang lainnya juga. Kamu bisa merasakan sensasi resort di tengah KOTA Surabaya hanya disini. Tempatnya layak resort-resort pada umumnya, sangat rekomendasi untuk staycation buat kamu yang ingin santai di KOTA Surabaya dengan sensasi berbeda. Atau juga bisa untuk mengadakan pertemuan dan sebagainya. Keren pokoknya resort ini. Apalagi di Surabaya."
Kamboja Kuning Project,5,"Bumi Surabaya City Resort  Adalah hotel dengan bintang 5, yang memiliki fasilitas yang lengkap dan membuat tamu nyaman.  Kamar sangat nyaman. Disediakan kamar mandi dengan bath tub, dan shower.  Fasilitas restoran disediakan 3 restoran yang menjadi satu kesatuan dengan keunikan nya masing-masing.  ada aroemmanis,  siti inggil.  Fasilitas lainnya seperti ruang meeting, fasilitas olah raga,  dan fasilitas lainnya.  fasilitas olahraga seperti kolam renang,  lapangan tenis,  dan gym.  Hotel ini memiliki taman yang nyaman dan indah,  serta pernik interior yang menarik."
Riana Nilasari,3,Suasananya agak mencekam ya. Apalagi ke toilet lantai 2 deket ballroom sendirian. Makanannya lumayan enak. Nyobain crepes nya juga asik sih. Jauh-jauh dari madura ke sini makannya sate ayam lagi hehe
Erli Herdiningtyas,5,"Salah satu hotel yg berkonsep resort d SBY. Suasana lebih ke Jawa dgn taman indah yg Asri dan luas. Hotel lama tp msh terawat sekali. Lokasi di tengah kota dekat dgn Tunjungan Plaza.  Begitu masuk disambut aroma khas Jawa sprti sereh dan campuran lainnya. Kmudian concierge dgn sigap akan membawakan barang Sampe menuju ke kamar. Proses checkin Cpt. Kamarnya sgt luas dan pemandangan kota SBY sgt indah. Kolam pun terlihat dr kamar. Fasilitas lengkap ada pool, fitness, jacuzzi dan tennis. Area kolam dan fitness searea dgn tennis dan sgt luas ada taman dan area spa. Ada kolam untuk anak jg. Makanan sgt lengkap sprti wisata kuliner ada makanan Jawa, Jepang dan western. Tempat makan bs pilih outdoor di taman atau indoor. Sgt berkesan menginap di bumi SBY hotel. In Syaa Allah pgn mengulang lg menginap disana."
Agus Priambodo,4,"Bagus. Hotel yg sangat terkenal karena sdh lama ada di Surabaya. Lokasinya strategis berada di jalan protokol jl Basuki Rachmat Surabaya. Pelayanannya baik, ramah, harga standard. Sayang bangunannya sudah lama gak ada renovasi. Restoran arum manisnya yang saya suka, menunya sangat banyak rasanya mantap n enak. Patut dicoba untuk anda yang sedang di Surabaya"
Ariefiana Nur Afiefah,5,"Suka banget sama aroma di Lobby nya! Kamarnya bagus, bersih dan cukup lengkap. Soto banjarnya juara banget👌 suasana outdoor restoran sangat cantik! cukup kecewa saat kamar dibersihkan, tidak langsung dikasih air mineral, teh & kopi, dan masih kurang rapi. Tetapi pelayanannya cukup baik dan ramah. …"
Ridho Adhie,5,"Hotel mewah di jantung kota Surabaya. Atmosfirnya menenangkan dan menentramkan fikiran. Menu makan malamnya sangat lengkap dan kaya variasi yang tersaji secara bufee maupun per gubug ala resepsi pernikahan. dengan suasana ala pesta kebun outdor all u can eat, sangat cocok mengajak keluarga untuk berpesta disini dan sangat elegan untuk menjamu tamu ataupun klien disini."
Cecilia Puspita,5,salah satu hotel terbesar di kota Surabaya. interior hotel sangat bagus dan tertata rapi. tempat parkir yang tersedia sangat luas jadi bisa menampung banyak kendaraan. tersedia pula restoran yang bisa digunakan dan disewa untuk umum. resepsionis dan seluruh pegawai ramah. loby yang ada juga bersih dan nyaman untuk tempat menunggu.
Gabriel prinova,5,Tempat terbaik untuk menyendiri dan mengerjakan tugas tutorial online universitas Terbuka
Esther Arie,4,Overall good Tapi untuk kebersihan kamar masih kurang 1. Masih ada sampah yang belum diberesi di atas kulkas 2. Meja nya banyak semut seperti tidak dibersihkan.
Budi antoro,5,"Pengalaman yang menyenangkan menginap di Bumi Surabaya City Resort. Terletak ditengah kota Surabaya, menjadikan salah satu hotel bintang yang terbaik. Ada taman, kolam, dan berbagai fasilitas yang bisa digunakan para tamu hotel. Staf yang ramah. Pelayanan yang cepat. Aneka ragam makanan yang enak. Asik buat foto ataupun nongkrong. Kamar hotel bersih dan dingin. Walau masih memakai konsep lama tetapi terkesan mewah. Semoga kedepan menginap di Bumi Surabaya City Resort lagk. Thx"
Reza Hendrawan,5,"Hotel klasik yg nyaman (tidak berlaku untuk yg penakut) kamar luas, comfy, bathup, swimming pool asik, meals are not bad, minus cm di tivinya aja, waayyyy too old and bad cable tv, tapi kalo cm mau nonton tv ngapain ke hotel ya?"
Mustika Maduratna,5,"Hotel bintang 5 yang terletak ditengah kota surabaya, dekat dengan tunjungan plaza. Fasilitas lengkap, ada kolam renang, fitness centre, lapangan tenis. Ukuran kamar luas, kamar mandi luas dilengkapi bathtub, makanan yang disajikan enak, dan banyak pilihan menu, mulai dari makanan lokal hingga internasional. Untuk harga sesuai dengan fasilitas dan pelayanan."
nadia,5,"Kesini waktu Ada acara, jadi cuma di hall + resto nya aja. Utk Hall nya bersih + luas kamar mandinya juga selalu di bersihkan jadi kering terus. Utk makanan nya waktu itu all you can eat, variasi menu banyak. Antara lain aneka makanan Jepang, makanan nusantara (garang asem, sate, nasgor, migor, dll) + dessert yg bervariasi. Kalo tidak salah utk harganya 266rb / orang. Semua pegawainya ramah & membantu sekali. Terimakasih 😊"
osalia ocha,5,"Hotel nya sangat nyaman , sarapan pagi banyak sekali menu nya dan semuanya enaaaak. Pelayanan nya baik (yaiyalaah hotel bintang buanyaak 😄) . Pool nya juga ada buat anak2 , ada yg buat berendam pakai air panas , ini nih yg bikin anak2 makin betah. Nyuaaamaaan banget disini mah , bikin males pulang 😂🤣 …"
Arijo Damar,5,"Lokasi strategis, parkir lapang, suasana kekeluargaan...👍 Staff melayani dg hati , tulus & senyum. 👍"
Achmad Muzakki,5,"Hotel&resort ini luar biasa, tempatnya asyik, tenang, serasa ga disurabaya, padahal lokasinya tepat dipusat kota surabaya.. Restaurantnya asikkk nyaman baik yg deket pool maupun yg didepan.. Makanannya enak2, orangnya ramah2, mulai yg bagian buka pintu didepan, sampai tukang bersih2 diblkg baik semuaa.. Lobby nya nyaman bgt aroma lemongrass enakkk bgt bikin relax. Pokoknya wajib cobain hotel bintang5 dgn service luarbiasa"
Ardi Social,5,"Resort di tengah kota surabaya dengan lokasi yang strategis. Fasilitas bintang 5, keramahan all staff, makanan yang enak, suasana yang asri dan nyaman"
Lukman Rama,5,"cozy, nyaman, pelayanan ramah"
sundari sugianto,5,"Di dlm hotel bumi surabaya ada restauran yg cukup apik, suasana lingkungan menyenangkan, dan TDK membosankan, ayem, sejuk, cukup luas namanya Arum manis resto. Ada yg Didalam ruangan ber AC (menu makanan banyak macam, ada aneka minuman segar: air alkali, jus mangga, sirup secang) yg paling segar sirup secang Ada dibagian teras ( jajanan: terang bulan, kue leker, dll), Ada yg ditaman ( sate ayam, soto daging, bakso daging sapi).  Ruangan utk makan ( ala Jepang cukup utk 10 orang, cocok utk acara keluarga, ruangannya romantis, cukup leluasa gak sempit). Yg paling penting harganya TDK mahal Krn kita bisa makan sampai puas, menu yg dihidangkan berkualitas."
tommy trianto,5,"kamar tipe terendah ada bath tub nya. Area hijau sangat banyak, kolam renang ada air panas. Kekurangannya tidak ada kids club"
Yan Ardhianto,5,Hotel lama yang tak pernah pudar. Suasana nyaman sekali dengan hidangan di Resto Arumanis yang lezat
Yudana Yekti,5,"Bangunan hotelnya dapat dibilang lama tapi secara fasilitas, luas area dan pelayanannya oke. Kamarnyapun luas untujnukuran standard dan yang lebih asyik tempat fitnes dannolah raganya menunjang banget. Belum lagi masakan n makanan oke dengan variasi makanan indonesia, jepang dan barat terasaji dengan apik dan lezat.. tempat makannyapun banyak dan tersedia untuk indoor n outdoornya"
Yurika Octaviana,5,"Hotelnya bagus, menu sarapannya variatif dan enak2. Cuma tv nya mati dan ga bs nyala lg waktu mau check out, jd ga sempat manggil teknisi. Secara keseluruhan oke"
Falih Muhammad,5,"Salah satu hotel keren dari sekian banyak hotel bagus di Surabaya, lokasi yang sangat strategis di pusat kota, dan yang menakjubkan saya ada konsep resto nya yang berbeda dengan hotel pada umumnya. Ayo prend nikamti pengalaman breakfast dan dining yang luar biasa di hotel ini"
Afif Efendi,5,Hotel ini sangat sejuk dan asri. Serasa tidak di surabaya. Pelayanan bagus. Staf ramah. Kamar bersih Saya stay di kamar 1354 cm kulkas yang tidak dingin. Selebihnya OK. Breakfastnya jauara 🏆🏆🏆🏆🏆 …
Andryas,4,keran air panas di bathtube hanya hangat saja.  Mesin pengering rambut sudah jadul kurang mantap.
antonius yeremia leonardo,5,"Hotel Bumi Surabaya merupakan hotel lama yang dikelolah dengan sangat baik , semua furniture masih sangat baik termasuk interior di dalam kamar , semua kamar harus menggunakan akses card proses check in bisa early ( tentatif ) dan sangat cepat namun kita di minta untuk deposit dana sebesar Rp. 500.000 untuk kamar tergolong standart namun sangat luas semua kamar di lengkapi dengan bathup shower air panas maupun dingin sangat bagus lancar dan deras , minusnya ada beberapa part yang sangat iconik dari hotel ini yang sepertinya hilang karena pandemi seperti aroma hotel yang biasanya sangat tercium namun sekarang tidak sama sekali , untuk breakfast semuaanya enak termasuk nasi goreng namum memang ada beberapa menu yang sepertinya dihilangkan mungkin lagi-lagi karena pandemi yah over all worth to try untuk menginap disini hotel di tengah kota surabaya dengan konsep resort yang keren"
Johan Chandra,1,Pengalaman check in yg buruk sekali … Hotel sekelas gini kok checkin harus nunggu berjam jam …. Alasan nya masih di bersihkan … Pelayanan juga kurang oke…. Tempat sampah di lobby gak ada…..
Almas Salsabil,5,"5 bintang buat makanan all you can eat yang super duper lengkap. Mulai sushi-sushian, beef, dimsum, sate, dan masih banyak lagi. Semuanya enak banget. Tempatnya juga comfy. Apalagi yang outdoor. Tapi kalau lagi panas kentang-kentang atau hujan, mending makan di indoor sih."
Vivi Pohan,5,"Kamar luar banget, sangat terawat, pilihan breakfast banyak dan enak2"
Trip.com Member,5,"Selalu menyenangkan menginap disini, kamar luas, ammenities lengkap dan fasilitas pendukung lainnya lengkap."
Tom Grudo,5,"Tempat yang ekskusif, kamar sangat luas dan nyaman. Para pegawai sangat banyak dan sigap membantu apapun keperluan kita. Kolam renang luas dan bersih. Untuk bathub aliran air untuk sangat cepat dan mudah diatur tingkat suhunya sehingga memanjakan kita yang mau berendam. Sarapan beraneka ragam dengan menu yang enak-enak. Benar-benar layanan bintang 5 yang memanjakan tamunya , sehingga membuat betah dan ingin ke sini lagi."
Faris Mubarok,5,Hotel lama terawat dengan baik
theda santosa,5,"Salah satu hotel bintang lima di surabaya dengan kamar sangat nyaman dan bersih, breakfast bervariasi, cafe dan bakery nya juga enak, lokasi sangat strategis, harganya reasonable"
amarilly dahlia,5,"Hotel tengah kota yang asri, meskipun hotel lama tetapi semuanya masih terawat, aroma lemon grass di lobby sangat segar. fasilitas swimming pool, gym dpt digunakan sampai jam 9 malem & bakery diskon 50% mulai pukul setengah 6 sore, nicee...^^"
Arif Aminin,5,"Hotel mewah harga bersahabat, sarapan banyak pilihan dengan rasa yang lezat, kolam renang besar, ada jacuzzi nya. Parkir sangat luas, lokasi premium di tengah kota, dekat ke pusat perbelanjaan, kamar luas, kamar mandi ada bathtub nya. Recommended."
nanda prasanti,5,"Pengen staycation yg masih 1 kota sama tempat tinggal dan akhirnya pilih di Bumi surabaya karna tau tempatnya unik.. dan puwasss banget nget menginap disini.. apalagi booking via traveloka promonya banyak dapat room per hari 500ribuan dan makin hepi saat pihak hotel bisa memenuhi request posisi kamar yg saya inginkan😍😍. Hal positif bagi saya : • staf"" nya ramah • kamar luas , bersih dan fasilitas lengkap • ada bathup , shower , peralatan mandi lengkap , hair dryer , setrikaan beserta mejanya , brankas , kopi teh , cermin rias , kulkas yg bener"" berfungsi dingin , bahkan ada timbangan juga • aliran air deras tidak ada masalah dan berfungsi panas dinginnya • ada fasilitas kolam renang ,gym , dan lapangan tenis • area taman luas rindang unik , ada kolam ikan , nyaman untuk duduk"" santai. Next time mau banget utk nginap disini lagi😍"
Agus Saputra,5,"Kamar luas, bersih, air panas bagus. Tempat sarapannya yang outdoor keren banyak pohon, seperti bukan di tengah2 kota surabaya."
Aswin Hartono,5,"Dari berbagai macam 5⭐ hotel yang ada di surabaya, hotel bumi (dahulu bernama hotel hyatt) memiliki restoran buffet terbaik dengan harga yang sesuai. Mulai dari jenis makanan (indonesia, western, jepang), rasa, suasana dan kualitas tidak diragukan lagi. Cocok untuk acara makan malam dengan rekan bisnis, keluarga, dan teman. Kita juga bisa memilih tempat antara indoor / outdoor."
Dian Rosa Indah,4,"Belum pernah sih nginep di kamarnya, tapi jika di restronya apalagi yang all u can food, dengan harga 188 ribu di tahun 2017, itu worth it bgt. Bahkan kamu bisa makan salmon berkali Kali sampai perutmu buncit. Dan makanan lainnya. Dan keren lah buat acara2 kantor, harganya keren, Dan yang paling khas Parfum serenya. Jadi pengen banget buat rumah"
mariani sipayung,5,"Suka banget hotel ini 😍. Hotelnya Nyaman, bersih, kamarnya dan taman nya bikin betah. . Cuma 2 hal kurangnya: . Channel tv nya ditambah plese 😅 sama please bantu kasih nama makanan di tpt breakfast. Soalnya males buka nutup tpt makanannya . Itu aja"
Yanni Prasetia,4,Tidak ada bidet jadi kurang nyaman
juliati ningsih,5,Salah satu hotel bintang 5 favorit semua kalangan. Kebersihan keseluruhan hotel cukup terjaga dan tetap menerapkan protokol kesehatan dimasa pandemi ini. Semoga dapat staycation bersama seluruh anggota keluarga besar di hotel Bumi Surabaya Resort disuatu hari nanti.
Erlisa Ariyani,5,"Aneka makanan dari 3 benua tersaji dengan rasa yang enak semua. Gak pernah bosan untuk makan disini, terutama menu Jepang. Pelayannya juga ramah dan cepet tanggap. Kalo ada kerabat yang Ulang Tahun dapat minta tolong ke pelayannya utk beri surprise diiringi lagu yg heboh. Banyak terdapat area foto yang unik-unik bernuansa tradisional disini."
Ardi Nugroho at gmail,5,"wes kayak rumah sendiri, ngopi rokok an kayak di warung deket- deket rumah cuman lebih fancy."
dyah shinta,4,"tempatnya selalu enak buat menginap krn makanannya dijamin enak . cuma akhir2 ini 2x terakhir menginap semenjak pandemi,kamarnya krg bersih . dari karpet bawahnya banyak bekas manik2 jatuh . kacanya juga krg bersih . masih banyak debu . semoga diperbaiki lagi kualitas kebersihannya ."
wiwi m,5,"Terletak di pusat kota, dekat dengan perkantoran dan Tunjungan Plaza. Parkir mobil cukup luas. Meskipun hotel tua, tapi semua fasilitasnya terawat dengan baik, breakfast pun banyak variannya."
fahrudin fahim,4,"Kamar luas,tempat nyaman, asri,ramah,nuansa restaurannya garden, saran utk penyajian roti variasinya dibanyakin,buah sama yg vegetarian jg kurang, ciri khas Surabaya kearifan lokal jg perlu ditambah"
adinda puspita,5,"fasilitas nya ok banget.. kamar luas dan bagus, kolam nya ada yg khusus utk anak dan bagus. cant wait for breakfast tomorrow. yg pasti makanan disini enak enak 😂 pernah kerja disini soalnya dlu …"
Titis Puji,5,"Hotel nya keren banget. Tempatnya luas. Kamarnya juga luas. Semua kamar ada bathup nya. Amenities lengkap, tapi sikat gigi cuman 1. Sendal juga cuman sepasang. Untuk makanan belum tau, soalnya belum incip🤭. …"
Rizqy rahmatyah,5,"Hotel bumi dengan restoran mewah nya bisa dijadikan satu rujukan untuk tujuan makan malam/siang bersama keluarga, pasangan, sahabat atau rekan kerja. Suasanya sangat nyaman dengan pilihan menu yg beragam dalam satu area, bagi tamu-tamu dari luar negeri disediakan menu khas Indonesia, namun bagi yg menginjar menu asia (Jepang) ataupun western juga ada.  rate yg ditawarkan adalah sekitar 160++/person untuk makan siang dan 280++/person untuk makan malam. Tersedia juga ruangan-ruangan khusus bila menginginkan ruangan yg lebih private.  Disarankan untuk mengenakan alas kaki yang nyaman karena Anda akan diberi kesempatan memutari area (yang berbatu, tangga serta lantai) untuk mengambil makanan."
A Arief (A R 1 3 F),5,"Menyenangkan. Lokasi nya strategis, fasilitasnya komplit. Kolam renangnya gede. Ada lapangan tennis juga dan bisa buat jogging trek. Menu breakfast nya juga juara. Taman Majapahit nya bikin adem. Kamarnya juga bikin betah. Four thumbs up dah!"
Annisya Ayub,5,"Salah 1 the best hotel yang pernah saya kunjungi. Kamar sangat luaaaat dengan compliment lengkap standar bintang 5,  Sangat senang dengan buffet nya 😍 banyak sekaliiiii pilihannya."
antonius eko,5,"Hotel yg lumayan terjaga kondisinya...pas kesana week day, kolam renang ga ada yg pakai jd serasa private pool..di kolam ada jacuzzi kalo kedinginan tinggal pindah ke jacuzzi.."
Ester Tengker,5,"Swuka banget sama hotel ini. Hotel bintang 5 tengah kota terdengar biasa, tapi yg bertema resort bisa jd berbeda. Begitu masuk hotel aroma terapinya memanjakan dan yg paling suka lagi restonya kizahashi (?) bayar 1x bisa nikmati all you can eat more than 3 menu. Western, chinese, japanese dan Indonesia plus jajanan yg memanjakan lidah. Kalau ada tamu penting dari kantor biasanya diajak makan disini. Belum lagi di bagian bakery, setiap hr disc. 50% diatas jam 6 (setiap hari buat baru) bisa tahan sampai 3hr kedepan.. Ah so many good things I can mention to this hotel. Just try and make yours~"
Pak Po,1,Buat ojol. Bikin mumettt dan emosi. Hanya antar food nitipkan di loby. Suruh muter2. Jln e jauh juga.  Lama habisin waktu ojol.  Sdh 2 kli kesini hanya antar food dan  jemput penumpang. Bikin sama2 emosi.
Farida Munthe,5,"Dadakan menginap disini karena ada promo terbatas hampir 50%. Hehehe.. Langsung dibook dan borong baby dan suami buat refreshing (kebetulan ini hotel impian suami saya buat menginap). Tidak ada keluhan, buat saya semua perfect. Baby dan suami saya senang sekali. Hanya saja baru tahu kalau menu pagi, siang dan malamnya berbeda2 jadi yang saya cari pas pagi belum ada (masakan Jepang hanya siang). Paling berkesan adalah sikap attitude staff nya. Padahal saya datang masuk kucel banget habis urus baby (sampai sungkan sendiri), tetapi tetap dilayani ramah. Tanya lokasi lift malah diantar sampai kamar. Padahal dia mungkin bukan staff service (seragam agak beda). Terimakasih..."
Lies Tiyowati,5,"Luar biasa keren... Hotel ditengah kota dengan nuasa yg sejuk dan konsep yg natural alam, hanya beberapa jam saja sudah membuat nyaman..."
Dimas Ariyo Nugroho,5,Hotel Yang sangat nyaman dan berada di jantung Kota Surabaya. Taman luas dan crew yang ramah menjadi ciri khas hotel yang satu ini. Pilihan menu breakfast juga bermacam macam. Patut dicoba juga pasar senggol dimalam hari. Recommended to stau here
Ivana Setiawati,4,"Hotel lama, ada bagian yg bagus, ada bagian yg kurang terawat seperti taman dan kloset di kamar saya (dudukan nya mengelupas). Tempatnya luas dan nyaman untuk jalan jalan, kolam renangnya besar, tapi yg air panas entah mengapa membuat mata perih ketika mendekat."
Adhiarta Prabhataputra,5,Hotel dengan usia yg cukup tua namun dengan fasilitas masih bisa berkompetisi dgn hotel zaman now. Utk restoran nya sangat direkomendasikan karena menyajikan pengalaman all you can eat yg berbeda dengan menu yg sangat beragam. Happy to stay at hotel bumi surabaya city resort yg dulunya dikenal sebagai HYATT surabaya
Luthfi Ari,5,"Tempat menginap yang sangat nyaman dengan nuansa klasik, pelayanan yang sangat memuaskan ukuran kamarnya juga luas dan bersih. Tempat breakfastnya juga rindang dibawah pohon pilihan menunya banyak dan rasanya juga enak enak. Selalu menginap disini setiap datang kesurabaya"
EM-Michelle Sahetapy,1,"Kami hanya transit semalam disini. Bekas hotel Hyatt kami berharap service masih ada rasa Hyatt nya. Cek in ok, kamar ok. Tp staff bukan seperti hotelier. Keramahan sangat datar. Staff yg sudah berumur di restaurant saat bfast dengan muka tanpa senyum berdiri saja tanpa membukakan pintu padahal saya sedang menggandeng 2 anak kecil. Satu waiter Aldi namanya saat kami bertanya dia hanya menjawab tidak jelas sambil melengos tanpa eye contact. Saat kami cekout tidak satupun yg menawarkan membawakan koper besar saya beserta barang2 yg lain hingga plataran lobby. Padahal 3 bellboy sedang bercanda gurau manis di dalam pintu kaca lobby bersama satu doorgirl (mungkin), tanpa menghiraukan saya yg loading barang ke mobil. LUAR BIASA!!!"
puspita aulia,5,"Walaupun kesan jadul, tapi ruang kamar di dalamnya sangat nyaman, kamar mandi dilengkapi bathub dan shower terpisah. Kolam renang terbagi 3 bagian: kolam dewasa, kolam anak, jacuzzi. Anak saya sangat senang, dan mengajak untuk kembali menginap disana"
Maggie Rosalina,5,"Selalu nginep di Bumi setiap ke Surabaya, pertama masuk ke lobi suka banget karena wangi lemongrass, staff nya ramah, interior hotel nya indonesia banget, kamar nya luas, even kamar standart nya pun ada bath tub. I cant rant enough of how good their breakfast buffet is, best selection of indonesian food, mulai dari rawon, pecel, gorengan, soto kuning, nasi goreng mawut, enak semua."
Fendi,5,"Baru masuk lobby disambut pegawai yg ramah dan aroma therapy ruangan yg khas, kamar bersih, paling berkesan konsep makan pagi di taman.serasa kembali di jaman Majapahit."
reren indranila,5,"Merupakan hotel yg sudah cukup lama di Surabaya. Kalau tidak salah dulu namanya Hyatt Surabaya. Kamar nyaman, makanannya juga enak dan banyak ragam menunya, dari sushi, menu tradisional, crepes dan lainnya."
Amelia Puspawijaya,2,"Old hotel but, banyak hal yg perlu diperbaiki. Kamar suasananya suram, kurang pencahayaan, kasur sdh wktnya diganti, Makan pagi krg bervariasi, sunny side egg tdk sempurna. Mesin kopi rusak. Hmmm.."
Cynthia Kartika,5,"Sangat memuaskan menginap di hotel ini, quite shocking ketika breakfast karena semua makanannya enak dan untuk dinnernya pun sama enaknya . Pelayanan very friendly n helpfull. Untuk kamarnya luas dan bersih walaupun sudah tergolong hotel lama.  Really having a good experience staying at bumi surabyaa city resort."
Glue Glue,1,"Sy sengaja review 1 star krn begitu kecewanya saya. Hanya karena parkir. Silakan di cek kapan sy stay disana, dan siapa petugas front desk nya. Petugas front desk seperti itu tdk layak di hire. Hotel di masa pandemi pd memberikan pelayanan terbaik tapi anda sangat arogan. Sebelumnya sy sering brekfast/dinner disana. Tapi kali itu sy stay, seumur hidup tdk akan sy ulang/rekomendasikan disana. Sy stay tgl 16 okt 2021. Atas nama o**y. Silakan di cek. Mohon ditegur dg keras buat front desk dan yg jaga malam disitu. Sengaja sy kasi 1 star. Sy siap dihubungi."
Camper67458826429,3,"Nginep di sini ke 2 kalinya krn pengen ngajak bocil naik kereta jadi turun di stasiun gubeng kemudian naik grab|Proses check in cukup lama krn weekend jadi antri, bayar deposit 500k|Yang aku suka dari hotel ini kamarnya luas dan semua ada …"
Qoriah Setia Yuliana,5,"Cocok buat yg menginap dan bikin acara, tapi akses dari parkiran motor agak susah ya masuknya karna jauh dari lobby utama, letak hotel emang di jalan tengah kota tapi tempatnya agak masuk dan sebelahan gedung lain (takut salah masuk gedung)"
Arya Dewantara,5,"The best hotel di surabaya. Letaknya di pusat kota surabaya, dekat dengan mall. Pelayanan ramah, fasilitas yang sangat lengkap mulai dari tempat gym, kolam renang, sauna, spa, lapangan tenis. Untuk sarapan disini terdapat sangat banyak menu, mulai dari jajanan tradisional, minuman tradisional, makanan khas indonesia, makanan jepang, makanan western dan di tambah suasana tempat makan yg enak, ada yg indoor maupu  outdoor. Disini juga cocok untuk diner, tempat yg romantis dan enak pokoknya👍"
Shafira Azzahra,5,Hotel yang jadi rekomendasi buat dijadiin tempat menginap kalau lagi di Surabaya. View nya dari atas dapet banget buat ngeliat jalanan ibu kota Surabaya yang rapih dan apik. Makanannya untuk breakfast dan dinner juga terbilang unik dengan menggunakan konsep pasar dengan berbagai macam pilihan makanan yang enak dari chef ahli
ARIEF R,5,"Pengalaman saya menginap 1 malam disini baik, keluarga saya cocok karena terasa homey, protokol kesehatan diterapkan baik, bersih, saya pikir hotel ini bergaya rada vintage. Ada taman cukup luas dan air mancur ditengah hotel, anak-anak senang bermain disini. Sarapan disajikan ke kamar."
muhammad zein anwar,2,"Hotelnya bagus, tenang, adem, pelayannya ramah2 cuma sayang ketika checkin harus siapin deposit dalam bentuk uang tunai walaupun sudah lunas bayar kamar, mana siang2 panas mau ke atm jalannya lumayan.. untung resepsionisnya boleh bukain kamar jadi bisa ngadem dulu. Beside that, everything is okay!!"
pristy pemilda,5,"Hotel Bintang 5 ditengah kota Suaasana khas.. Kamar besar. Berada di Hotel ini tidak seperti di kota.. karena banyak pohon, kolam ikan dll jd serasa menikmati udara diluar kota.  Staff ramah dan sangat membantu. Menu makanan enak"
felysia susanti,4,Ok tempatnya...cuma toilet sudah byk yg kuning (closet & pinggiran bathup) breakfast enak tetapi pelayanan kurang..dimasa liburan staff hrsnya ditambah..jd tidak antri terlalu panjang & lamq
Yuni Ai N,5,"Kamarnya enak luas banget, view nya ke arah kota, kamar mandi enak, hotelnya nyaman, suka aroma sereh nya heheh. Makanannya lengkap dan banyak banget pilihan, nginep disana agak lama tapi ga bosen bosen sama menu sarapannya. Oh iya pelayanan juga ramah."
Phoolan,5,"Hotelnya mewah, kamarnya luas dan bersih. Restorannya banyak variasi makanannya dan rasanya juga enak. Ada air mancur dan kolam ikan yang bikin anak2 betah. Harga sesuai fasilitas, lumayan pricey."
FYASKA,4,"Kali ini saya coba staycation di hotel Bumi yg lokasi tepat di tengah kota Surabaya. Pertama kali masuk area hotel kok kesannya singup, ga cerah n bersih, alias rimbun, mungkin karena banyak tanaman di area hotelnya.. Untuk service admin cukupan lah setara hotel lainnya.. Untuk kamar ini waow, kamar yg saya tempati oke punya, ada bathtub, shower, dll sama seperti hotel lain, cmn di Bumi disekat2 jadi enak liatnya, CUMAN saya agak kecewa dengan layanan TV nya..1. Utk sekelas hotel Bumi tv nya imut2 2. Layanan tv kabelnya ga bs jernih, cenderung banyak semut n gangguan... Untuk BF ga ada yg istimewa, local food dan sama seperti hotel lain.. Ada yg menarik dr hotel ini, ada taman mini yg pohonnya guede2 jadi rindang klo siang, enak banget bersantai dibwahnya... Overall 8 dr 10"
Dhani Satyo,5,"Hotel yang menyenangkan untuk staycation, tempat strategis tepat di pusat  kota Surabaya, mall terbesar bisa jalan kaki, Indonesian foodnya juara ga pernah salah."
vivin widyaningsih,5,"Merupakan salah satu hotel bintang lima di surabaya. Hotel ini terletak di jalan utama kota surabaya, yaitu di jalan basuki rahmat, tidak jau dari tunjungan plaza. Kamar standar nya cukup luas, dengan ranjang king size. Kamar mandi terdapat di sebelah kiri pintu masuk dan ruang tidur terletak di sebelah kanan pintu masuk, yg terpisah oleh lemari pakaian dan ruang ganti. Terdapat bathtub. Terdapat kolam renang dewasa dan anak-anak serta terdapat jacuzzi. Tamannya bagus, banyak pohon-pohon dan teduh."
